objID,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag
161961101242011386,110.124202370,44.967301030,0.0036,0.0030,18.9723,0.0053,18.3235,0.0037,18.0795,0.0038,17.9714,0.0089,17.9005,0.0143
161961101180079382,110.118221180,44.974049770,0.2081,0.1558,21.8198,0.0265,21.3104,0.0860,21.4009,0.1100,,,,
161971101221986551,110.122470430,44.979703540,0.0129,0.0151,21.9587,0.0896,21.3137,0.0295,20.5598,0.0198,20.0792,0.0395,19.9271,0.0521
161961101267240344,110.126748470,44.966420130,0.0015,0.0030,18.3156,0.0059,17.3810,0.0028,17.0201,0.0034,16.8286,0.0020,16.7058,0.0058
161971101182250032,110.118236720,44.974240340,0.1865,0.1037,21.6485,0.0086,21.5774,0.0541,21.4197,0.2499,,,,
161961101246783866,110.124745520,44.969342250,0.0726,0.0726,21.3528,0.0793,,,21.3581,0.1728,,,,
161961101350536810,110.135109970,44.971913680,0.0029,0.0057,20.3366,0.0196,20.0349,0.0299,20.0255,0.0128,19.7548,0.0229,19.9305,0.0615
161991101328905744,110.133126420,44.995945590,0.1377,0.1377,21.5701,0.2132,,,22.1461,0.0094,,,,
161971101355859566,110.135790250,44.982478460,0.0543,0.0543,20.6285,0.0615,21.4885,0.0706,,,,,,
161991101280258522,110.128081940,44.998291350,0.0083,0.0087,20.8475,0.0332,19.8228,0.0184,19.4939,0.0164,19.0826,0.0355,18.9335,0.0179
161971101351595709,110.135183010,44.979226650,0.0088,0.0077,21.5246,0.0516,20.2885,0.0216,19.8604,0.0169,19.5894,0.0203,19.2650,0.0393
161991101211286591,110.121267060,44.996709040,0.0207,0.0149,21.8003,0.1772,21.3892,0.0407,20.4820,0.0137,19.9511,0.0899,19.6103,0.0752
162001101318912107,110.131852660,45.001198030,0.0123,0.0155,21.6954,0.1153,20.8365,0.0508,20.3985,0.0157,20.0461,0.0627,19.8940,0.0716
162001101229424333,110.122813920,45.003053970,0.0369,0.0529,21.8182,0.0637,21.6353,0.0680,21.4583,0.0539,,,,
162001101315182331,110.131605420,45.001301920,0.1187,0.1187,21.4705,0.1669,21.7931,0.2099,,,19.9623,0.1676,,
162001101333708275,110.133271180,45.006286870,0.0856,0.0856,21.5313,0.1549,21.5510,0.1863,21.3805,0.1300,,,,
162001101403151757,110.140219120,45.000897500,0.0029,0.0052,19.8392,0.0163,19.4959,0.0097,19.3590,0.0078,19.2747,0.0188,19.2204,0.0195
161981101039383890,110.103857640,44.986006310,0.0533,0.0614,21.7062,0.0773,21.6912,0.0977,21.4347,0.0281,,,,
161981100989394223,110.099485980,44.986190590,0.4465,0.2051,21.4143,0.1568,21.0391,0.0461,21.7269,0.0781,,,,
161991100921827779,110.091865290,44.997556920,0.0131,0.0174,21.6544,0.1979,21.0103,0.0586,20.4097,0.0171,20.1371,0.0479,,
161971100958364199,110.095851740,44.977964310,0.0030,0.0022,18.9164,0.0064,17.6635,0.0054,16.8856,0.0023,16.5183,0.0049,16.3247,0.0043
161981100939749913,110.093991340,44.991102760,0.0098,0.0075,21.3658,0.0530,20.3152,0.0441,19.8429,0.0180,19.4943,0.0212,19.2537,0.0894
161991100905742683,110.090618970,44.993356050,0.0309,0.0439,21.8646,0.0992,21.5640,0.0706,21.5143,0.0448,21.1939,0.0400,,
161981100773025531,110.077331180,44.987409140,0.0039,0.0105,21.9605,0.2562,20.9190,0.0471,20.2353,0.0127,19.8835,0.0281,19.5650,0.0506
162001100778855702,110.078061750,45.004171580,0.0226,0.0323,21.6344,0.0692,21.4156,0.0452,21.2444,0.0339,21.0562,0.0928,,
162001100799961925,110.080185590,45.001052650,0.0160,0.0190,21.9337,0.0488,21.2558,0.0638,20.7976,0.0218,20.5695,0.0418,20.3747,0.1262
162031100951321298,110.095025610,45.025423760,0.0697,0.0697,21.4737,0.0740,,,20.4151,0.0878,,,,
162031100994778293,110.099478550,45.031388320,0.0715,0.0715,21.5426,0.1803,,,20.0393,0.0764,,,,
162021100808406928,110.080994440,45.021965820,0.0519,0.0519,22.1131,0.2984,,,20.7291,0.0324,,,,
162031100922616661,110.092288750,45.030088290,0.0366,0.0279,21.8843,0.1933,21.2665,0.0510,21.1614,0.0383,20.7142,0.0919,20.9302,0.2346
162031100991488694,110.099070090,45.031511760,0.0318,0.0273,21.3224,0.0773,20.9040,0.0570,20.6497,0.0391,20.3596,0.1606,20.1587,0.1045
162031100938750970,110.093894800,45.025288040,0.0010,0.0013,16.6491,0.0073,16.1251,0.0021,15.9278,0.0022,15.8897,0.0044,15.8110,0.0040
162011101081128085,110.108138860,45.014543380,0.0026,0.0037,17.1313,0.0049,16.7796,0.0026,16.6526,0.0031,16.6230,0.0049,16.5786,0.0067
162021100790002624,110.079005260,45.018243850,0.0036,0.0091,21.0483,0.0578,19.7656,0.0125,18.4329,0.0046,17.8240,0.0049,17.5055,0.0100
162041100885632523,110.088571840,45.034918610,0.0074,0.0122,16.9389,0.0047,16.3537,0.0024,16.0984,0.0032,16.0025,0.0061,15.9068,0.0047
162011101081013780,110.108112020,45.010957280,0.0021,0.0069,17.3266,0.0017,16.8575,0.0035,16.6731,0.0038,16.6049,0.0045,16.5575,0.0085
162001101027626759,110.102777880,45.005108530,0.0035,0.0058,14.4615,0.0030,14.0661,0.0069,13.9134,0.0029,13.8941,0.0020,13.8401,0.0008
162011100900070446,110.090079350,45.008181000,0.0051,0.0056,21.5012,0.0893,20.3625,0.0142,19.1943,0.0069,18.6560,0.0119,18.3604,0.0127
162021101013149557,110.101346420,45.024162020,0.0437,0.0437,21.6631,0.1881,21.6725,0.0590,21.6332,0.0389,21.4312,0.1827,,
162031101017047034,110.101767080,45.030319380,0.1513,0.1449,22.0880,0.2035,21.7054,0.1944,21.5511,0.1076,,,,
162031101300973830,110.130076630,45.027664200,0.0285,0.0205,21.3907,0.0769,20.9385,0.0392,20.9335,0.0207,20.5089,0.1087,20.1197,0.4959
162021101374816830,110.137692780,45.021863400,0.0427,0.0386,21.8886,0.1969,21.5156,0.0755,21.3191,0.0639,21.1568,0.0986,,
162031101233382637,110.123399240,45.026739300,0.0287,0.0157,20.7506,0.0621,20.4325,0.0262,20.5870,0.0297,19.9543,0.0614,20.2271,0.2628
162021101374512253,110.137481970,45.017961790,0.0104,0.0119,21.6294,0.0311,20.4191,0.0581,20.0953,0.0241,19.5841,0.0628,19.2572,0.0469
162021101263260370,110.126288370,45.016484980,0.0245,0.0205,21.5594,0.0496,20.8839,0.0385,20.7335,0.0333,20.1676,0.1130,19.7822,0.0289
162021101218368015,110.121956130,45.022724460,0.0109,0.0135,20.1103,0.0249,19.5512,0.1167,19.3685,0.0473,18.4002,0.0276,18.6396,0.0358
162021101357015333,110.135735150,45.020562940,0.0060,0.0088,20.6689,0.0203,20.0233,0.0180,19.7818,0.0127,19.6493,0.0243,19.4502,0.0307
162031101304268048,110.130641820,45.031285280,0.0157,0.0157,21.2222,0.1000,19.1666,0.0435,19.3284,0.0734,,,,
162031101240944184,110.124146590,45.028067270,0.0360,0.0384,21.9790,0.1930,21.5626,0.0063,21.3787,0.0381,20.8002,0.1282,20.7923,0.1858
162041100971113041,110.097123510,45.035328830,0.0025,0.0100,20.0804,0.0123,18.7780,0.0079,17.9551,0.0039,17.5731,0.0093,17.3273,0.0142
162051101037878969,110.103794240,45.048813570,0.0338,0.0439,20.1548,0.0205,19.8594,0.0099,20.1722,0.0483,19.9523,0.1499,19.4478,0.1816
162061100894573508,110.089561030,45.052378530,0.0165,0.0208,21.6921,0.1265,20.8190,0.0498,20.1829,0.0195,19.6874,0.0680,19.3893,0.1066
162061101046142342,110.104652950,45.051422440,0.0345,0.0371,21.6988,0.0802,21.0560,0.0685,20.9327,0.0300,20.6342,0.0971,20.6846,0.1677
162051101037749311,110.103800500,45.048843190,0.0168,0.0266,20.0721,0.0821,20.0086,0.0203,20.0106,0.0267,19.3238,0.0517,19.5340,0.2081
162041100995049635,110.099516420,45.040819690,0.0019,0.0078,20.3997,0.0344,19.1730,0.0065,18.4639,0.0045,18.1223,0.0075,17.9308,0.0274
162051100905981328,110.090644280,45.042264320,0.0015,0.0057,19.6826,0.0068,19.1927,0.0076,18.9775,0.0062,18.9226,0.0108,18.8165,0.0315
162051100988013569,110.098862900,45.044072850,0.0163,0.0181,21.5772,0.1840,21.0346,0.0580,20.6805,0.0262,20.2744,0.0957,20.1890,0.2267
161901100276601699,110.027852060,44.917634930,0.0509,0.0509,20.1967,0.0597,,,,,19.5803,0.1665,,
161901100278881993,110.027895410,44.917742270,0.0200,0.0213,20.5557,0.0910,20.3113,0.0384,20.1968,0.0467,19.9437,0.0802,19.9832,0.1361
